team,match,alliance,auto_line,auto_low,auto_high,tele_low,tele_high,wheel_spin,wheel_color,climbed,climb_assists,climb_was_assisted,park,balanced
2521,13,red,1,0,6,4,17,0,0,0,0,0,0,0
2811,13,blue,1,0,3,3,6,0,0,0,0,0,0,0
5295,13,blue,1,0,3,2,34,0,0,0,0,0,0,0
2898,13,blue,1,0,6,6,4,0,0,0,0,0,0,0
5468,14,red,1,0,0,3,14,0,0,1,1,0,0,1
2411,14,red,1,0,3,5,12,0,0,1,0,1,0,1
2550,14,red,1,0,6,5,18,0,0,0,0,0,0,1
1540,14,blue,1,0,3,0,7,0,0,1,0,0,0,0
3223,14,blue,1,0,7,4,29,0,0,1,0,0,0,0
1571,14,blue,1,0,6,0,0,0,0,1,0,0,0,0
1425,15,red,1,1,0,0,22,0,0,1,0,0,0,0
2990,15,red,1,1,0,6,29,0,0,1,0,0,0,0
4488,15,red,1,0,2,0,29,0,0,0,0,0,0,0
3674,15,blue,1,1,0,2,9,0,0,1,0,0,0,1
3024,15,blue,1,0,0,1,14,0,0,1,0,0,0,1
1432,15,blue,1,0,3,0,24,0,0,1,0,0,0,1
4127,16,red,1,0,3,5,27,0,0,0,0,0,0,0
753,16,red,1,0,8,8,13,0,0,0,0,0,0,0
5085,16,red,1,0,6,4,12,1,0,0,0,0,0,0
847,16,blue,1,3,0,4,28,0,0,0,0,0,0,0
6696,16,blue,1,0,0,1,10,1,0,0,0,0,0,0
2915,16,blue,1,0,3,8,15,0,0,0,0,0,0,0
5977,17,red,1,2,0,6,9,0,0,0,0,0,0,0
3636,17,red,1,0,3,4,1,0,0,0,0,0,0,0
6845,17,red,1,0,3,10,16,0,0,0,0,0,0,0
6465,17,blue,1,1,0,3,24,0,0,0,0,0,0,0
7448,17,blue,1,0,0,1,25,0,0,0,0,0,0,0
3812,17,blue,1,0,3,14,16,1,0,0,0,0,0,0
3711,18,red,1,0,3,8,2,0,0,1,0,0,0,0
5803,18,red,1,0,3,8,12,0,0,0,0,0,0,0
1510,18,red,1,0,6,4,9,0,0,0,0,0,0,0
6343,18,blue,1,1,0,3,41,0,0,1,0,0,0,0
6831,18,blue,1,0,0,0,8,0,0,0,0,0,0,0
2471,18,blue,1,0,3,0,0,0,0,0,0,0,0,0
4127,19,red,1,3,0,8,11,0,0,1,0,0,0,0
5295,19,red,1,2,0,1,21,0,0,0,0,0,0,0
2521,19,red,1,0,3,3,3,0,0,0,0,0,0,0
1571,19,blue,1,2,0,3,13,0,0,1,0,0,0,0
2550,19,blue,1,3,0,12,2,0,0,0,0,0,0,0
1425,19,blue,1,0,3,5,7,0,0,0,0,0,0,0
5450,20,red,1,1,0,3,10,0,0,1,0,0,0,0
3812,20,red,1,0,3,0,15,0,0,0,0,0,0,0
2811,20,red,1,0,6,4,13,0,0,0,0,0,0,0
2915,20,blue,1,0,3,0,10,0,0,1,0,0,0,1
7448,20,blue,1,0,6,8,0,0,0,1,0,0,0,1
2411,20,blue,1,0,6,0,22,0,0,0,0,0,0,1
3636,21,red,1,0,3,8,21,0,0,1,0,0,0,1
6831,21,red,1,0,3,9,5,1,0,1,0,0,0,1
2990,21,red,1,0,8,7,14,0,1,0,0,0,0,1
5977,21,blue,1,1,0,11,17,0,0,1,0,0,0,1
6696,21,blue,1,0,0,2,11,0,0,0,0,0,0,1
6343,21,blue,1,0,3,1,20,0,0,0,0,0,0,1
6845,22,red,1,0,3,12,23,0,0,1,0,0,0,1
3711,22,red,1,0,3,3,14,0,0,1,0,0,0,1
6465,22,red,1,0,6,7,0,0,0,0,0,0,0,1
5803,22,blue,1,0,3,2,19,0,0,1,0,0,0,0
4488,22,blue,1,0,3,3,17,0,0,0,0,0,0,0
1540,22,blue,1,0,6,4,17,0,0,0,0,0,0,0
3024,23,red,1,0,3,0,25,0,0,0,0,0,0,0
2898,23,red,1,0,3,7,36,0,0,0,0,0,0,0
753,23,red,1,0,8,9,27,0,0,0,0,0,0,0
3674,23,blue,1,0,0,7,7,0,0,1,0,0,0,0
5468,23,blue,1,0,3,4,9,0,0,1,0,0,0,0
1510,23,blue,1,0,6,9,8,0,0,0,0,0,0,0
5085,24,red,1,0,0,0,0,0,0,1,0,0,0,0
360,24,red,1,0,0,11,1,0,0,1,0,0,0,0
1432,24,red,1,0,3,5,13,0,0,0,0,0,0,0
847,24,blue,1,2,0,0,4,0,0,1,0,0,0,0
2471,24,blue,1,0,3,12,29,0,0,1,0,0,0,0
3223,24,blue,1,0,6,5,8,0,0,1,0,0,0,0
1571,25,red,1,1,0,3,0,0,0,1,0,0,0,1
5803,25,red,1,0,2,0,23,0,0,0,0,0,0,1
4127,25,red,1,0,3,1,17,0,0,0,0,0,0,1
3711,25,blue,1,0,0,5,24,0,0,1,0,0,0,1
2811,25,blue,1,0,0,6,18,0,0,0,0,0,0,1
6831,25,blue,1,0,3,0,0,0,0,0,0,0,0,1
753,26,red,1,2,0,5,15,0,0,0,0,0,0,0
2990,26,red,1,0,0,6,56,0,0,0,0,0,0,0
2550,26,red,1,0,3,0,17,0,0,0,0,0,0,0
6343,26,blue,1,1,0,10,3,0,0,0,0,0,0,0
6465,26,blue,1,0,3,5,20,0,0,0,0,0,0,0
2915,26,blue,1,0,3,4,16,0,0,0,0,0,0,0
5450,27,red,1,3,0,1,13,0,0,1,0,0,0,0
1425,27,red,1,0,3,0,0,0,0,0,0,0,0,0
7448,27,red,1,0,3,0,13,0,0,0,0,0,0,0
1510,27,blue,1,2,0,10,10,1,1,1,0,0,0,1
1540,27,blue,1,0,3,6,10,0,0,0,0,0,0,1
5085,27,blue,1,0,6,0,25,0,0,0,0,0,0,1
3223,28,red,1,3,0,8,42,0,0,1,0,0,0,1
2411,28,red,1,0,2,13,11,1,0,0,0,0,0,1
3636,28,red,1,0,3,1,0,0,0,0,0,0,0,1
4488,28,blue,1,1,0,1,0,0,0,1,0,0,0,0
5468,28,blue,1,0,2,0,4,0,0,0,0,0,0,0
360,28,blue,1,0,3,9,18,0,0,0,0,0,0,0
6696,29,red,1,0,0,0,29,0,0,1,2,0,0,1
6845,29,red,1,0,3,9,0,0,0,1,0,1,0,1
2521,29,red,1,0,6,0,15,1,0,1,0,1,0,1
5295,29,blue,1,2,0,9,26,0,0,1,0,0,0,0
3024,29,blue,1,0,3,0,9,0,0,1,0,0,0,0
2471,29,blue,1,0,3,2,14,0,0,1,0,0,0,0
847,30,red,1,3,0,3,20,0,0,1,2,0,0,1
2898,30,red,1,0,3,0,25,0,0,1,0,1,0,1
3674,30,red,1,0,6,3,29,0,0,1,0,1,0,1
1432,30,blue,1,1,0,0,3,0,0,1,1,0,0,1
3812,30,blue,1,0,3,8,3,1,0,1,0,1,0,1
5977,30,blue,1,0,6,4,30,0,0,0,0,0,0,1
6343,31,red,1,0,3,0,20,1,0,0,0,0,0,0
5085,31,red,1,0,3,0,19,0,0,0,0,0,0,0
3223,31,red,1,0,6,11,19,0,0,0,0,0,0,0
360,31,blue,1,2,0,2,18,0,0,1,0,0,0,1
2411,31,blue,1,0,3,6,6,0,0,0,0,0,0,1
5803,31,blue,1,0,3,2,13,0,0,0,0,0,0,1
2811,32,red,1,0,3,16,7,0,0,1,2,0,0,1
2471,32,red,1,0,3,3,11,0,0,1,0,1,0,1
1540,32,red,1,0,6,10,37,0,0,1,0,1,0,1
2990,32,blue,1,2,0,12,17,1,1,1,1,0,0,1
2521,32,blue,1,0,2,15,1,0,0,1,0,1,0,1
3024,32,blue,1,0,6,12,33,0,0,0,0,0,0,1
6845,33,red,1,3,0,6,25,0,0,1,0,0,0,0
3674,33,red,1,0,3,12,9,1,0,0,0,0,0,0
6831,33,red,1,0,8,3,12,0,0,0,0,0,0,0
7448,33,blue,1,0,2,3,8,0,0,1,0,0,0,0
753,33,blue,1,0,3,4,0,0,0,1,0,0,0,0
5295,33,blue,1,0,6,14,19,1,0,0,0,0,0,0
1571,34,red,0,0,0,0,11,1,0,1,0,0,0,1
1510,34,red,1,0,3,0,32,0,0,1,0,0,0,1
2898,34,red,1,0,3,0,13,0,0,0,0,0,0,1
4488,34,blue,1,2,0,3,18,0,0,1,0,0,0,0
847,34,blue,1,3,0,6,16,0,0,0,0,0,0,0
3636,34,blue,1,0,2,11,18,0,0,0,0,0,0,0
3711,35,red,1,0,3,0,6,0,0,0,0,0,0,0
1432,35,red,1,0,8,5,0,0,0,0,0,0,0,0
6696,35,red,1,0,8,3,8,0,0,0,0,0,0,0
5450,35,blue,1,2,0,4,15,0,0,1,0,0,0,0
2550,35,blue,1,0,3,1,12,1,0,1,0,0,0,0
5977,35,blue,1,0,3,0,19,0,0,1,0,0,0,0
5468,36,red,1,2,0,6,22,0,0,1,0,0,0,1
2915,36,red,1,0,0,17,0,0,0,1,0,0,0,1
3812,36,red,1,0,3,3,19,1,0,1,0,0,0,1
1425,36,blue,1,0,3,2,17,0,0,1,0,0,0,1
6465,36,blue,1,0,3,15,11,0,0,1,0,0,0,1
4127,36,blue,1,0,6,3,25,0,0,0,0,0,0,1
3636,37,red,1,1,0,7,23,0,0,1,0,0,0,1
6343,37,red,1,0,3,8,23,0,0,1,0,0,0,1
5295,37,red,1,0,3,5,30,0,0,0,0,0,0,1
2811,37,blue,1,1,0,6,19,0,0,1,0,0,0,0
5085,37,blue,1,0,3,9,19,1,0,0,0,0,0,0
7448,37,blue,1,0,3,1,6,0,0,0,0,0,0,0
4488,38,red,1,0,3,5,23,0,0,1,0,0,0,1
3024,38,red,1,0,3,2,14,0,1,0,0,0,0,1
1571,38,red,1,0,6,12,8,1,0,0,0,0,0,1
3223,38,blue,1,2,0,5,26,0,0,1,0,0,0,0
5450,38,blue,1,3,0,4,21,0,0,1,0,0,0,0
2990,38,blue,1,0,3,2,0,0,0,0,0,0,0,0
2550,39,red,1,2,0,2,20,0,0,1,0,0,0,0
1510,39,red,1,0,3,0,24,0,0,1,0,0,0,0
2471,39,red,1,0,6,0,4,0,0,1,0,0,0,0
3812,39,blue,1,1,0,4,11,0,0,0,0,0,0,0
753,39,blue,1,0,3,0,9,0,0,0,0,0,0,0
360,39,blue,1,0,6,5,2,0,0,0,0,0,0,0
1540,40,red,1,1,0,16,32,0,0,1,0,0,0,1
5977,40,red,1,0,3,4,0,0,0,1,0,0,0,1
847,40,red,1,0,3,12,0,1,0,0,0,0,0,1
6696,40,blue,1,0,3,2,3,0,0,1,0,0,0,0
6831,40,blue,1,0,3,14,11,0,0,1,0,0,0,0
4127,40,blue,1,0,6,7,11,0,0,0,0,0,0,0
1432,41,red,1,3,0,5,25,1,0,1,0,0,0,1
5468,41,red,1,0,3,0,39,0,0,1,0,0,0,1
6845,41,red,1,0,2,7,26,0,0,0,0,0,0,1
2521,41,blue,1,3,0,6,20,0,0,1,0,0,0,1
2915,41,blue,1,1,0,4,28,0,0,1,0,0,0,1
3711,41,blue,1,0,3,7,20,1,0,0,0,0,0,1
2898,42,red,1,3,0,14,5,0,0,1,0,0,0,1
5803,42,red,1,0,3,3,8,1,1,1,0,0,0,1
6465,42,red,1,0,3,0,22,0,0,0,0,0,0,1
2411,42,blue,1,2,0,10,24,0,0,1,0,0,0,0
1425,42,blue,1,0,3,12,13,0,0,0,0,0,0,0
3674,42,blue,1,0,6,9,11,0,0,0,0,0,0,0
6696,43,red,0,2,0,0,31,0,0,1,0,0,0,0
2811,43,red,1,0,3,5,26,0,0,0,0,0,0,0
3223,43,red,1,0,2,0,5,0,0,0,0,0,0,0
1510,43,blue,1,0,0,7,21,1,0,1,0,0,0,0
5450,43,blue,1,0,2,18,12,0,0,1,0,0,0,0
753,43,blue,1,0,3,0,17,0,0,0,0,0,0,0
2915,44,red,1,2,0,0,4,0,0,0,0,0,0,0
1571,44,red,1,0,3,2,2,0,0,0,0,0,0,0
1432,44,red,1,0,6,0,0,0,0,0,0,0,0,0
3024,44,blue,1,0,3,7,22,0,0,1,0,0,0,0
6845,44,blue,1,0,3,5,15,0,0,0,0,0,0,0
360,44,blue,1,0,6,8,4,0,0,0,0,0,0,0
7448,45,red,1,0,0,9,21,0,0,1,0,0,0,1
3636,45,red,1,0,3,0,10,0,0,0,0,0,0,1
1540,45,red,1,0,6,11,19,0,0,0,0,0,0,1
3812,45,blue,1,2,0,3,7,0,0,1,0,0,0,0
4127,45,blue,1,0,3,2,11,0,0,1,0,0,0,0
2990,45,blue,1,0,3,0,4,0,0,1,0,0,0,0
5803,46,red,1,3,0,0,26,0,0,1,0,0,0,0
1425,46,red,1,1,0,14,8,0,0,1,0,0,0,0
6831,46,red,1,0,3,4,20,0,0,1,0,0,0,0
2898,46,blue,1,3,0,12,15,0,0,1,0,0,0,0
2471,46,blue,1,0,3,11,18,0,0,0,0,0,0,0
5468,46,blue,1,0,6,8,17,0,0,0,0,0,0,0
2521,47,red,1,0,0,1,16,1,0,1,0,0,0,0
6343,47,red,1,2,0,9,23,0,0,0,0,0,0,0
847,47,red,1,0,3,8,19,0,0,0,0,0,0,0
2411,47,blue,1,3,0,0,10,0,0,1,0,0,0,0
6465,47,blue,1,0,0,0,10,0,0,0,0,0,0,0
5977,47,blue,1,0,3,2,19,0,0,0,0,0,0,0
4488,48,red,1,0,0,0,21,0,0,1,0,0,0,1
2550,48,red,1,0,3,13,0,0,0,0,0,0,0,1
3711,48,red,1,0,3,5,22,0,0,0,0,0,0,1
5295,48,blue,1,1,0,4,5,0,0,0,0,0,0,0
3674,48,blue,1,0,3,2,30,0,0,0,0,0,0,0
5085,48,blue,1,0,6,9,12,0,0,0,0,0,0,0
1425,49,red,1,2,0,2,15,0,0,1,0,0,0,0
3223,49,red,1,2,0,0,3,1,0,0,0,0,0,0
5468,49,red,1,0,3,0,16,0,0,0,0,0,0,0
1510,49,blue,1,1,0,6,5,0,0,1,0,0,0,1
6845,49,blue,1,0,3,1,9,0,0,1,0,0,0,1
7448,49,blue,1,0,3,6,23,0,0,1,0,0,0,1
753,50,red,1,1,0,2,16,0,0,1,0,0,0,1
1571,50,red,1,0,3,6,15,0,0,1,0,0,0,1
847,50,red,1,0,6,0,3,0,0,0,0,0,0,1
3636,50,blue,1,0,0,6,12,0,0,1,0,0,0,0
2521,50,blue,1,1,0,10,10,0,0,1,0,0,0,0
5803,50,blue,1,0,3,1,31,0,0,1,0,0,0,0
2550,51,red,1,0,3,13,0,0,0,1,0,0,0,0
2915,51,red,1,0,3,0,14,0,0,1,0,0,0,0
3024,51,red,1,0,6,1,14,0,0,1,0,0,0,0
5977,51,blue,1,2,0,0,7,0,0,0,0,0,0,0
6831,51,blue,1,0,3,3,8,0,0,0,0,0,0,0
2898,51,blue,1,0,6,4,9,1,0,0,0,0,0,0
3812,52,red,1,2,0,0,35,1,1,1,0,0,0,0
5085,52,red,1,0,3,11,17,0,0,0,0,0,0,0
2471,52,red,1,0,3,6,13,0,0,0,0,0,0,0
6465,52,blue,0,0,0,2,7,0,0,1,0,0,0,0
2811,52,blue,1,0,3,0,26,0,0,0,0,0,0,0
3674,52,blue,1,0,3,4,0,0,0,0,0,0,0,0
5295,53,red,1,0,0,0,9,1,0,1,0,0,0,0
1540,53,red,1,1,0,12,18,0,0,0,0,0,0,0
5450,53,red,1,0,3,0,23,0,0,0,0,0,0,0
6343,53,blue,1,1,0,2,17,0,0,0,0,0,0,0
1432,53,blue,1,1,0,0,3,0,0,0,0,0,0,0
4488,53,blue,1,0,3,11,15,0,0,0,0,0,0,0
2990,54,red,1,0,3,13,15,0,0,1,0,0,0,0
360,54,red,1,0,3,9,0,0,0,0,0,0,0,0
6696,54,red,1,0,6,1,16,0,0,0,0,0,0,0
2411,54,blue,1,0,0,11,0,1,0,1,0,0,0,0
3711,54,blue,1,0,3,8,17,0,1,0,0,0,0,0
4127,54,blue,1,0,3,14,22,0,0,0,0,0,0,0
2471,55,red,1,0,3,6,28,1,0,1,0,0,0,1
3636,55,red,1,0,8,2,11,0,0,0,0,0,0,1
753,55,red,1,0,6,0,19,0,0,0,0,0,0,1
5977,55,blue,0,3,0,1,8,0,0,1,0,0,0,0
1425,55,blue,1,0,3,10,35,0,0,0,0,0,0,0
3024,55,blue,1,0,2,3,6,0,0,0,0,0,0,0
6831,56,red,1,0,0,0,19,0,0,1,0,0,0,0
3223,56,red,1,0,3,4,24,0,0,1,0,0,0,0
7448,56,red,1,0,6,6,24,0,0,0,0,0,0,0
2915,56,blue,1,3,0,5,15,0,0,1,0,0,0,0
2811,56,blue,1,0,2,6,4,0,0,0,0,0,0,0
4488,56,blue,1,0,6,14,0,1,0,0,0,0,0,0
5295,57,red,1,0,3,0,8,0,0,1,0,0,0,1
5803,57,red,1,0,3,2,20,0,0,1,0,0,0,1
3812,57,red,1,0,8,0,6,0,0,0,0,0,0,1
5450,57,blue,1,3,0,8,3,0,0,1,0,0,0,0
6696,57,blue,1,0,3,9,2,0,0,1,0,0,0,0
5468,57,blue,1,0,6,0,19,0,0,1,0,0,0,0
2411,58,red,1,0,3,5,14,0,0,1,0,0,0,1
1432,58,red,1,0,7,4,16,0,0,0,0,0,0,1
847,58,red,1,0,6,0,14,0,0,0,0,0,0,1
2990,58,blue,1,2,0,6,0,0,0,1,0,0,0,1
6343,58,blue,1,0,3,13,26,0,0,1,0,0,0,1
1510,58,blue,1,0,3,5,16,0,0,0,0,0,0,1
2898,59,red,0,3,0,11,0,0,0,0,0,0,0,0
4127,59,red,1,0,3,0,11,0,0,0,0,0,0,0
6845,59,red,1,0,6,2,28,0,0,0,0,0,0,0
2550,59,blue,1,3,0,0,16,1,0,1,0,0,0,0
6465,59,blue,1,1,0,8,8,0,0,0,0,0,0,0
5085,59,blue,1,0,3,10,7,0,0,0,0,0,0,0
360,60,red,1,0,3,7,0,0,0,1,0,0,0,1
3711,60,red,1,0,3,14,27,0,0,0,0,0,0,1
1540,60,red,1,0,6,0,19,0,0,0,0,0,0,1
2521,60,blue,1,0,0,1,12,0,0,1,2,0,0,1
1571,60,blue,1,0,3,9,26,0,0,1,0,1,0,1
3674,60,blue,1,0,3,3,28,0,0,1,0,1,0,1
5803,61,red,1,3,0,10,24,0,0,1,0,0,0,1
3024,61,red,1,0,3,5,15,0,0,0,0,0,0,1
5450,61,red,1,0,3,8,29,0,0,0,0,0,0,1
2990,61,blue,1,3,0,5,6,1,0,1,0,0,0,1
847,61,blue,1,0,3,10,13,0,0,1,0,0,0,1
7448,61,blue,1,0,3,4,11,0,0,1,0,0,0,1
2471,62,red,1,0,3,8,12,0,0,1,0,0,0,0
4488,62,red,1,0,3,12,25,0,0,0,0,0,0,0
2411,62,red,1,0,6,10,19,0,0,0,0,0,0,0
4127,62,blue,1,2,0,0,20,0,0,1,0,0,0,1
3636,62,blue,1,0,3,12,11,0,0,0,0,0,0,1
2550,62,blue,1,0,3,0,19,0,0,0,0,0,0,1
6465,63,red,1,3,0,2,13,0,0,1,0,0,0,0
1510,63,red,1,0,2,7,29,0,0,0,0,0,0,0
5295,63,red,1,0,3,9,24,0,0,0,0,0,0,0
1540,63,blue,1,3,0,12,5,0,0,1,0,0,0,0
6845,63,blue,1,0,2,0,8,0,0,0,0,0,0,0
2915,63,blue,1,0,6,7,24,0,0,0,0,0,0,0
5085,64,red,1,0,0,6,0,0,0,1,0,0,0,0
6696,64,red,1,1,0,0,5,0,0,1,0,0,0,0
1425,64,red,1,0,3,10,1,0,0,1,0,0,0,0
6831,64,blue,1,0,0,4,8,0,1,1,0,0,0,0
360,64,blue,1,0,3,9,32,0,0,0,0,0,0,0
1571,64,blue,1,0,3,3,18,1,0,0,0,0,0,0
3674,65,red,1,2,0,2,12,0,0,1,0,0,0,0
3812,65,red,1,0,3,0,16,0,0,0,0,0,0,0
6343,65,red,1,0,3,6,3,1,0,0,0,0,0,0
2898,65,blue,1,3,0,13,14,0,0,1,0,0,0,0
2521,65,blue,1,0,3,7,23,0,0,1,0,0,0,0
3223,65,blue,1,0,3,12,18,0,0,0,0,0,0,0
5468,66,red,1,3,0,7,5,0,0,1,0,0,0,0
5977,66,red,1,0,3,2,35,0,0,0,0,0,0,0
3711,66,red,1,0,3,0,4,0,0,0,0,0,0,0
753,66,blue,1,2,0,7,25,0,0,1,0,0,0,1
1432,66,blue,1,0,3,1,13,0,0,0,0,0,0,1
2811,66,blue,1,0,3,2,6,0,0,0,0,0,0,1
6831,67,red,1,0,2,8,26,0,0,1,0,0,0,0
1540,67,red,1,0,3,9,22,1,0,0,0,0,0,0
3024,67,red,1,0,6,1,21,0,1,0,0,0,0,0
6845,67,blue,1,0,3,2,3,0,0,1,0,0,0,0
5450,67,blue,1,0,3,0,20,0,0,1,0,0,0,0
2411,67,blue,1,0,6,9,2,0,0,1,0,0,0,0
7448,68,red,1,3,0,6,10,0,0,1,0,0,0,0
3674,68,red,1,2,0,9,17,0,0,0,0,0,0,0
5803,68,red,1,0,3,13,25,0,0,0,0,0,0,0
4127,68,blue,1,0,0,9,3,0,0,1,0,0,0,1
2471,68,blue,1,3,0,5,5,1,0,0,0,0,0,1
360,68,blue,1,0,3,0,20,0,0,0,0,0,0,1
1432,69,red,1,3,0,1,8,0,0,1,0,0,0,1
3223,69,red,1,0,3,9,22,0,0,1,0,0,0,1
6465,69,red,1,0,6,19,15,0,0,1,0,0,0,1
1571,69,blue,1,0,0,3,28,0,0,1,0,0,0,1
3636,69,blue,1,0,3,10,7,0,0,0,0,0,0,1
6696,69,blue,1,0,6,5,0,1,0,0,0,0,0,1
3711,70,red,1,1,0,0,14,0,0,1,0,0,0,0
6343,70,red,1,0,3,5,0,0,0,0,0,0,0,0
753,70,red,1,0,6,2,17,0,0,0,0,0,0,0
2898,70,blue,1,2,0,3,43,0,0,1,0,0,0,1
4488,70,blue,1,0,3,5,14,0,0,0,0,0,0,1
3812,70,blue,1,0,3,0,9,1,0,0,0,0,0,1
2915,71,red,1,3,0,6,16,0,0,1,0,0,0,1
2990,71,red,1,0,3,0,8,0,0,1,0,0,0,1
5977,71,red,1,0,3,0,5,0,0,0,0,0,0,1
2521,71,blue,1,2,0,0,25,0,0,1,0,0,0,0
5085,71,blue,1,0,3,3,17,0,0,1,0,0,0,0
5468,71,blue,1,0,3,6,14,0,0,1,0,0,0,0
1425,72,red,1,2,0,6,37,1,0,1,0,0,0,0
1510,72,red,1,1,0,5,0,0,0,0,0,0,0,0
2811,72,red,1,0,3,0,17,0,0,0,0,0,0,0
847,72,blue,1,3,0,7,9,1,0,1,0,0,0,1
5295,72,blue,1,0,3,20,14,0,0,0,0,0,0,1
2550,72,blue,1,0,3,6,24,0,0,0,0,0,0,1
